# Wavelength[nm], Reflectance
1.383193027512662411e+03 7.857399731250203079e-01
1.383394017476150339e+03 7.758711905914575935e-01
1.383595251804335476e+03 7.709632227176438368e-01
1.383796486132520840e+03 7.783612629768071889e-01
1.383997842643054582e+03 7.809797418737441932e-01
1.384199076971239947e+03 7.770261327606429180e-01
1.384400555664122294e+03 7.793113563698998991e-01
1.384602034357004868e+03 7.703581006865519720e-01
1.384803635232235820e+03 7.735280230230165976e-01
1.385005113925118394e+03 7.776415032486235779e-01
1.385206836982698178e+03 7.795551548823497212e-01
1.385408560040277962e+03 7.759866363618067586e-01
1.385610405280206123e+03 7.712503476188190543e-01
1.385812250520134512e+03 7.815790677127428809e-01
1.386014095760062901e+03 7.743821892192289669e-01
1.386216063182339894e+03 7.704017314764894930e-01
1.386418030604616888e+03 7.734570670479776755e-01
1.386620242391591091e+03 7.773108729731329491e-01
1.386822331996216690e+03 7.725172985197924502e-01
1.387024543783190893e+03 7.684344715871120890e-01
1.387226877752513928e+03 7.658441640676971751e-01
1.387429211721836737e+03 7.616907376326560453e-01
1.387631545691159545e+03 7.665298375017931543e-01
1.387834124025179563e+03 7.661685767409124326e-01
1.388036580176851203e+03 7.672638908643104605e-01
1.388239158510871221e+03 7.662748232038774088e-01
1.388441859027240071e+03 7.587396860915479602e-01
1.388644559543608693e+03 7.662007126415937286e-01
1.388847260059977543e+03 7.570218373715238425e-01
1.389050082758694771e+03 7.573262865094034790e-01
1.389253027639760830e+03 7.629470130565663144e-01
1.389456094703175495e+03 7.612460458986912704e-01
1.389659161766589932e+03 7.607357540962413900e-01
1.389862106647655992e+03 7.616169032760120583e-01
1.390065295893419261e+03 7.575192518500021288e-01
1.390268485139182530e+03 7.534054075974356834e-01
1.390471796567294405e+03 7.547735117102444269e-01
1.390675107995406279e+03 7.550841776436469921e-01
1.390878541605866758e+03 7.479445563416631249e-01
1.391081975216327237e+03 7.366504768085929689e-01
1.391285531009136321e+03 7.472105355058902276e-01
1.391489208984294009e+03 7.470815539499567892e-01
1.391692642594754489e+03 7.512048404931614964e-01
1.391896442752260782e+03 7.531868470335223442e-01
1.392100242909767076e+03 7.521678461156311446e-01
1.392304165249622201e+03 7.518439128380794978e-01
1.392507965407128495e+03 7.537845140809783517e-01
1.392712009929332226e+03 7.554461147479033523e-01
1.392916054451535729e+03 7.441574901134249131e-01
1.393120098973739232e+03 7.425451398386844204e-01
1.393324265678291567e+03 7.415976476460341971e-01
1.393528432382843903e+03 7.401286095980892377e-01
1.393732721269744616e+03 7.403241522283205978e-01
1.393937132338994161e+03 7.394080261786621922e-01
1.394141543408243706e+03 7.397833933167872189e-01
1.394345832295144419e+03 7.386846206773955981e-01
1.394550487729091174e+03 7.367822492093326625e-01
1.394755143163037928e+03 7.388771856570169883e-01
1.394959798596984683e+03 7.324214190709588124e-01
1.395164454030931438e+03 7.331184866275111123e-01
1.395369231647226798e+03 7.375756725147624149e-01
1.395574131445870762e+03 7.311835264505321952e-01
1.395779031244514726e+03 7.349920554783371252e-01
1.395984053225507296e+03 7.317521240468255472e-01
1.396189075206499865e+03 7.273969292962244593e-01
1.396394097187492434e+03 7.247729334505488286e-01
1.396599363533182441e+03 7.239137312719854389e-01
1.396804629878872220e+03 7.215233299051118099e-01
1.397009651859864789e+03 7.174680498047776300e-01
1.397215162570252005e+03 7.121610553553063827e-01
1.397420673280638994e+03 7.150543742793199486e-01
1.397626183991026210e+03 7.078390366206970263e-01
1.397831572519064594e+03 7.111253043119329931e-01
1.398037205411800414e+03 7.058698279993247393e-01
1.398242960486884840e+03 7.084522539276567610e-01
1.398448593379620434e+03 7.029812773729078312e-01
1.398654592819402069e+03 7.043264712012066164e-01
1.398860347894486495e+03 7.019736692417462010e-01
1.399066225151919525e+03 6.995423893242275204e-01
1.399272346774049538e+03 7.006148729835162126e-01
1.399478346213831173e+03 6.993741670059147042e-01
1.399684467835961414e+03 6.999560550856325225e-01
1.399890589458091654e+03 6.937615336071032424e-01
1.400096955444919104e+03 7.002730450625209713e-01
1.400303199249397949e+03 6.876074483831638995e-01
1.400509565236225626e+03 6.902505588640686085e-01
1.400716053405401681e+03 6.861892413134091928e-01
1.400922541574577735e+03 6.846036077340547088e-01
1.401129029743753790e+03 6.744849002199985177e-01
1.401335640095278677e+03 6.744974238299128455e-01
1.401542372629151942e+03 6.777312234191340545e-01
1.401749227345373811e+03 6.812259231146010618e-01
1.401956082061595907e+03 6.785524522802194314e-01
1.402162936777817777e+03 6.740210363057522747e-01
1.402369791494039873e+03 6.642303853029285499e-01
1.402576890574959180e+03 6.725376046782480799e-01
1.402783989655878258e+03 6.705217501337404906e-01
1.402991210919146170e+03 6.677891510616570381e-01
1.403198310000065476e+03 6.639123442552686827e-01
1.403405531263333160e+03 6.646580452872836720e-01
1.403612996891298280e+03 6.638111333508959211e-01
1.403820340336914796e+03 6.622466124053898451e-01
1.404027805964879917e+03 6.555853533658200227e-01
1.404235271592845038e+03 6.580646237517462360e-01
1.404442981585507368e+03 6.569139839290131233e-01
1.404650691578169699e+03 6.495923008598165627e-01
1.404858279388483425e+03 6.542423887660491211e-01
1.405066111563494360e+03 6.491415198722432223e-01
1.405273943738505523e+03 6.578873647428364890e-01
1.405481898095865063e+03 6.550157327219469083e-01
1.405689852453224603e+03 6.477122802329262630e-01
1.405897928992932975e+03 6.409949661658708164e-01
1.406106005532641120e+03 6.424007411699503844e-01
1.406314326437046475e+03 6.409468685857047099e-01
1.406522402976754847e+03 6.466926341910694820e-01
1.406730723881160202e+03 6.364108417089247016e-01
1.406939166967914389e+03 6.407737411113920700e-01
1.407147610054668576e+03 6.416088318026753612e-01
1.407356053141422535e+03 6.338909558382532783e-01
1.407564618410525327e+03 6.315381776273757408e-01
1.407773305861976723e+03 6.249455613694456790e-01
1.407981993313428120e+03 6.245623322934160671e-01
1.408190802947227894e+03 6.227627132264700327e-01
1.408399612581027895e+03 6.234805810102114210e-01
1.408608544397176502e+03 6.233745005445999743e-01
1.408817476213325108e+03 6.190054013339216787e-01
1.409026530211822319e+03 6.210985844890074548e-01
1.409235584210319757e+03 6.129726651925050396e-01
1.409444760391165573e+03 6.189130455297414679e-01
1.409653936572011389e+03 6.129527363035668364e-01
1.409863357117554415e+03 6.106786176022632739e-01
1.410072533298400231e+03 6.062489906424699537e-01
1.410282076026292088e+03 6.049066320473731606e-01
1.410491496571835114e+03 6.032373291416867067e-01
1.410701039299726972e+03 5.965229199707193786e-01
1.410910582027618602e+03 6.027245621963360778e-01
1.411120369120207670e+03 5.912039695504022196e-01
1.411330156212796510e+03 5.863052824883695502e-01
1.411539943305385577e+03 5.881031619964328661e-01
1.411749730397974417e+03 5.887655886333892363e-01
1.411959761855260695e+03 5.885122563023709175e-01
1.412169793312546972e+03 5.901701451465833914e-01
1.412379824769833249e+03 5.730454162476001922e-01
1.412589856227119526e+03 5.686981947581485342e-01
1.412800132049102785e+03 5.633827186232497342e-01
1.413010407871086272e+03 5.616103638431848566e-01
1.413220805875418364e+03 5.540451381702278244e-01
1.413430959515053246e+03 5.570922836283945800e-01
1.413641601884082775e+03 5.594477071084787978e-01
1.413852244253112076e+03 5.441271010404105102e-01
1.414062764439792772e+03 5.509959461073724585e-01
1.414273406808822074e+03 5.485897941872742711e-01
1.414484171360199980e+03 5.430544792074919469e-01
